日付,終値,,,,,
2023/2/17,76.34,,,,,
2023/2/16,78.49,,,,,
2023/2/15,78.59,,,,,
2023/2/14,79.06,,,,,
2023/2/13,80.14,,,,,
2023/2/10,79.72,,,,,
2023/2/9,78.06,,,,,
2023/2/8,78.47,,,,,
2023/2/7,77.14,,,,,
2023/2/6,74.11,,,,,
2023/2/3,73.39,,,,,
2023/2/2,75.88,,,,,
2023/2/1,76.41,,,,,
2023/1/31,78.87,,,,,
2023/1/30,77.9,,,,,
2023/1/27,79.68,,,,,
2023/1/26,81.01,,,,,
2023/1/25,80.15,,,,,
2023/1/24,80.13,,,,,
2023/1/23,81.62,,,,,
2023/1/20,81.31,,,,,
2023/1/19,80.33,,,,,
2023/1/18,79.48,,,,,
2023/1/17,80.18,,,,,
2023/1/16,79.04,,,,,
2023/1/15,79.78,,,,,
2023/1/13,79.86,,,,,
2023/1/12,78.39,,,,,
2023/1/11,77.41,,,,,
2023/1/10,75.12,,,,,
2023/1/9,74.63,,,,,
2023/1/6,73.77,,,,,
2023/1/5,73.67,,,,,
2023/1/4,72.84,,,,,
2023/1/3,76.93,,,,,
2023/1/2,80.47,,,,,
2022/12/30,80.26,,,,,
2022/12/29,78.4,,,,,
2022/12/28,78.96,,,,,
2022/12/27,79.53,,,,,
2022/12/26,80.97,,,,,
2022/12/23,79.56,,,,,
2022/12/22,77.49,,,,,
2022/12/21,78.29,,,,,
2022/12/20,76.09,,,,,
2022/12/19,75.19,,,,,
2022/12/16,74.29,,,,,
2022/12/15,76.11,,,,,
2022/12/14,77.28,,,,,
2022/12/13,75.39,,,,,
2022/12/12,73.17,,,,,
2022/12/9,71.02,,,,,
2022/12/8,71.46,,,,,
2022/12/7,72.01,,,,,
2022/12/6,74.25,,,,,
2022/12/5,76.93,,,,,
2022/12/2,79.98,,,,,
2022/12/1,81.22,,,,,
2022/11/30,80.55,,,,,
2022/11/29,78.2,,,,,
2022/11/28,77.24,,,,,
2022/11/25,76.28,,,,,
2022/11/24,77.95,,,,,
2022/11/23,77.94,,,,,
2022/11/22,80.95,,,,,
2022/11/21,79.73,,,,,
2022/11/18,80.08,,,,,
2022/11/17,81.64,,,,,
2022/11/16,85.59,,,,,
2022/11/15,86.92,,,,,
2022/11/14,85.87,,,,,
2022/11/11,88.96,,,,,
2022/11/10,86.47,,,,,
2022/11/9,85.83,,,,,
2022/11/8,88.91,,,,,
2022/11/7,91.79,,,,,
2022/11/4,92.61,,,,,
2022/11/3,88.17,,,,,
2022/11/2,90,,,,,
2022/11/1,88.37,,,,,
2022/10/31,86.53,,,,,
2022/10/28,87.9,,,,,
2022/10/27,89.08,,,,,
2022/10/26,87.91,,,,,
2022/10/25,85.32,,,,,
2022/10/24,84.58,,,,,
2022/10/21,85.05,,,,,
2022/10/20,85.98,,,,,
2022/10/19,85.55,,,,,
2022/10/18,82.82,,,,,
2022/10/17,85.46,,,,,
2022/10/14,85.61,,,,,
2022/10/13,89.11,,,,,
2022/10/12,87.27,,,,,
2022/10/11,89.35,,,,,
2022/10/10,91.13,,,,,
2022/10/7,92.64,,,,,
2022/10/6,88.45,,,,,
2022/10/5,87.76,,,,,
2022/10/4,86.52,,,,,
2022/10/3,83.63,,,,,
2022/9/30,79.49,,,,,
2022/9/29,81.23,,,,,
2022/9/28,82.15,,,,,
2022/9/27,78.5,,,,,
2022/9/26,76.71,,,,,
2022/9/23,78.74,,,,,
2022/9/22,83.49,,,,,
2022/9/21,82.94,,,,,
2022/9/20,84.45,,,,,
2022/9/19,85.73,,,,,
2022/9/16,85.11,,,,,
2022/9/15,85.1,,,,,
2022/9/14,88.48,,,,,
2022/9/13,87.31,,,,,
2022/9/12,87.78,,,,,
2022/9/9,86.79,,,,,
2022/9/8,83.54,,,,,
2022/9/7,81.94,,,,,
2022/9/6,86.88,,,,,
2022/9/5,88.96,,,,,
2022/9/4,88.25,,,,,
2022/9/2,86.87,,,,,
2022/9/1,86.61,,,,,
2022/8/31,89.55,,,,,
2022/8/30,91.64,,,,,
2022/8/29,97.01,,,,,
2022/8/26,93.06,,,,,
2022/8/25,92.52,,,,,
2022/8/24,94.89,,,,,
2022/8/23,93.74,,,,,
2022/8/22,90.23,,,,,
2022/8/19,90.77,,,,,
2022/8/18,90.5,,,,,
2022/8/17,88.11,,,,,
2022/8/16,86.53,,,,,
2022/8/15,89.41,,,,,
2022/8/12,92.09,,,,,
2022/8/11,94.34,,,,,
2022/8/10,91.93,,,,,
2022/8/9,90.5,,,,,
2022/8/8,90.76,,,,,
2022/8/5,89.01,,,,,
2022/8/4,88.54,,,,,
2022/8/3,90.66,,,,,
2022/8/2,94.42,,,,,
2022/8/1,93.89,,,,,
2022/7/29,98.62,,,,,
2022/7/28,96.42,,,,,
2022/7/27,97.26,,,,,
2022/7/26,94.98,,,,,
2022/7/25,96.7,,,,,
2022/7/22,94.7,,,,,
2022/7/21,96.35,,,,,
2022/7/20,102.26,,,,,
2022/7/19,104.22,,,,,
2022/7/18,102.6,,,,,
2022/7/15,97.59,,,,,
2022/7/14,95.78,,,,,
2022/7/13,96.3,,,,,
2022/7/12,95.84,,,,,
2022/7/11,104.09,,,,,
2022/7/8,104.79,,,,,
2022/7/7,102.73,,,,,
2022/7/6,98.53,,,,,
2022/7/5,99.5,,,,,
2022/7/4,110.4,,,,,
2022/7/3,108.19,,,,,
2022/7/1,108.43,,,,,
2022/6/30,105.76,,,,,
2022/6/29,109.78,,,,,
2022/6/28,111.76,,,,,
2022/6/27,109.57,,,,,
2022/6/24,107.62,,,,,
2022/6/23,104.27,,,,,
2022/6/22,106.19,,,,,
2022/6/21,110.65,,,,,
2022/6/20,108.84,,,,,
2022/6/19,108.94,,,,,
2022/6/17,109.56,,,,,
2022/6/16,117.59,,,,,
2022/6/15,115.31,,,,,
2022/6/14,118.93,,,,,
2022/6/13,120.93,,,,,
2022/6/10,120.67,,,,,
2022/6/9,121.51,,,,,
2022/6/8,122.11,,,,,
2022/6/7,119.41,,,,,
2022/6/6,118.5,,,,,
2022/6/3,118.87,,,,,
2022/6/2,116.87,,,,,
2022/6/1,115.26,,,,,
2022/5/31,114.67,,,,,
2022/5/30,117.61,,,,,
2022/5/29,115.61,,,,,
2022/5/27,115.07,,,,,
2022/5/26,114.09,,,,,
2022/5/25,110.33,,,,,
2022/5/24,109.77,,,,,
2022/5/23,110.29,,,,,
2022/5/20,113.23,,,,,
2022/5/19,112.21,,,,,
2022/5/18,109.59,,,,,
2022/5/17,112.4,,,,,
2022/5/16,114.2,,,,,
2022/5/13,110.49,,,,,
2022/5/12,106.13,,,,,
2022/5/11,105.71,,,,,
2022/5/10,99.76,,,,,
2022/5/9,103.09,,,,,
2022/5/6,109.77,,,,,
2022/5/5,108.26,,,,,
2022/5/4,107.81,,,,,
2022/5/3,102.41,,,,,
2022/5/2,105.17,,,,,
2022/4/29,104.69,,,,,
2022/4/28,105.36,,,,,
2022/4/27,102.02,,,,,
2022/4/26,101.7,,,,,
2022/4/25,98.54,,,,,
2022/4/22,102.07,,,,,
2022/4/21,103.79,,,,,
2022/4/20,102.75,,,,,
2022/4/19,102.56,,,,,
2022/4/18,108.21,,,,,
2022/4/14,106.95,,,,,
2022/4/13,104.25,,,,,
2022/4/12,100.6,,,,,
2022/4/11,94.29,,,,,
2022/4/8,98.26,,,,,
2022/4/7,96.03,,,,,
2022/4/6,96.23,,,,,
2022/4/5,101.96,,,,,
2022/4/4,103.28,,,,,
2022/4/1,99.27,,,,,
2022/3/31,100.28,,,,,
2022/3/30,107.82,,,,,
2022/3/29,104.24,,,,,
2022/3/28,105.96,,,,,
2022/3/25,113.9,,,,,
2022/3/24,112.34,,,,,
2022/3/23,114.93,,,,,
2022/3/22,111.76,,,,,
2022/3/21,112.12,,,,,
2022/3/18,104.7,,,,,
2022/3/17,102.98,,,,,
2022/3/16,95.04,,,,,
2022/3/15,96.44,,,,,
2022/3/14,103.01,,,,,
2022/3/11,109.33,,,,,
2022/3/10,106.02,,,,,
2022/3/9,108.7,,,,,
2022/3/8,123.7,,,,,
2022/3/7,119.4,,,,,
2022/3/4,115.68,,,,,
2022/3/3,107.67,,,,,
2022/3/2,110.6,,,,,
2022/3/1,103.41,,,,,
2022/2/28,95.72,,,,,
2022/2/25,91.59,,,,,
2022/2/24,92.81,,,,,
2022/2/23,92.1,,,,,
2022/2/22,92.35,,,,,
2022/2/21,92.65,,,,,
2022/2/20,91.62,,,,,
2022/2/18,91.07,,,,,
2022/2/17,91.76,,,,,
2022/2/16,93.66,,,,,
2022/2/15,92.07,,,,,
2022/2/14,95.46,,,,,
2022/2/11,93.1,,,,,
2022/2/10,89.88,,,,,
2022/2/9,89.66,,,,,
2022/2/8,89.36,,,,,
2022/2/7,91.32,,,,,
2022/2/4,92.31,,,,,
2022/2/3,90.27,,,,,
2022/2/2,88.26,,,,,
2022/2/1,88.2,,,,,
2022/1/31,88.15,,,,,
2022/1/28,86.82,,,,,
2022/1/27,86.61,,,,,
2022/1/26,87.35,,,,,
2022/1/25,85.6,,,,,
2022/1/24,83.31,,,,,
2022/1/21,85.14,,,,,
2022/1/20,86.9,,,,,
2022/1/19,86.96,,,,,
2022/1/18,85.43,,,,,
2022/1/17,83.69,,,,,
2022/1/16,83.83,,,,,
2022/1/14,83.82,,,,,
2022/1/13,82.12,,,,,
2022/1/12,82.64,,,,,
2022/1/11,81.22,,,,,
2022/1/10,78.23,,,,,
2022/1/7,78.9,,,,,
2022/1/6,79.46,,,,,
2022/1/5,77.85,,,,,
2022/1/4,76.99,,,,,
2022/1/3,76.08,,,,,
2021/12/31,75.21,,,,,
2021/12/30,76.99,,,,,
2021/12/29,76.56,,,,,
2021/12/28,75.98,,,,,
2021/12/27,75.57,,,,,
2021/12/23,73.79,,,,,
2021/12/22,72.76,,,,,
2021/12/21,71.12,,,,,
2021/12/20,68.23,,,,,
2021/12/17,70.86,,,,,
2021/12/16,72.38,,,,,
2021/12/15,70.87,,,,,
2021/12/14,70.73,,,,,
2021/12/13,71.29,,,,,
2021/12/10,71.67,,,,,
